sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO51001,BK-M68B-38,27467,20121220,20121227,20130101,2049,1,2049
SO51002,BK-R89B-58,17976,20121220,20121227,20130101,2182,1,2182
SO51003,BK-R89R-58,18005,20121220,20121227,20130101,2182,1,2182
SO51004,BK-R89R-48,13978,20121220,20121227,20130101,2443,1,2443
SO51005,BK-R50B-48,15990,20121220,20121227,20130101,783,1,783
SO51006,BK-R64Y-48,14461,20121220,20121227,20130101,1000,1,1000
SO51007,BK-R64Y-44,25234,20121220,20121227,20130101,1000,1,1000
SO51008,BK-M68S-46,15830,20121220,20121227,20130101,2071,1,2071
SO51009,BK-M68S-42,16029,20121220,20121227,20130101,2071,1,2071
SO51010,BK-M68B-38,27546,20121221,20121228,20130102,2049,1,2049
SO51011,BK-R89R-48,16551,20121221,20121228,20130102,2443,1,2443
SO51012,BK-M68S-42,12846,20121221,20121228,20130102,2071,1,2071
SO51013,BK-M68B-38,11577,20121221,20121228,20130102,2049,1,2049
SO51014,BK-M68S-38,11583,20121221,20121228,20130102,2071,1,2071
SO51015,BK-R64Y-42,17891,20121221,20121228,20130102,1000,1,1000
SO51016,BK-R50R-52,19899,20121221,20121228,20130102,783,1,783
SO51017,BK-R50R-48,15987,20121221,20121228,20130102,783,1,783
SO51018,BK-M68S-38,15751,20121221,20121228,20130102,2071,1,2071
SO51019,BK-M68B-46,15767,20121221,20121228,20130102,2049,1,2049
SO51020,BK-M68S-42,16159,20121221,20121228,20130102,2071,1,2071
SO51021,BK-R89R-48,16532,20121222,20121229,20130103,2443,1,2443
SO51022,BK-M68S-46,11483,20121222,20121229,20130103,2071,1,2071
SO51023,BK-M68B-42,13517,20121222,20121229,20130103,2049,1,2049
SO51024,BK-R50R-60,21029,20121222,20121229,20130103,783,1,783
SO51025,BK-R64Y-38,25226,20121222,20121229,20130103,1000,1,1000
SO51026,BK-R64Y-48,25228,20121222,20121229,20130103,1000,1,1000
SO51027,BK-M68B-38,15765,20121222,20121229,20130103,2049,1,2049
SO51028,BK-R89B-44,24587,20121222,20121229,20130103,2182,1,2182
SO51029,BK-R89B-52,24475,20121222,20121229,20130103,2182,1,2182
SO51030,BK-M68B-46,27524,20121223,20121230,20130104,2049,1,2049
SO51031,BK-M68B-42,13562,20121223,20121230,20130104,2049,1,2049
SO51032,BK-R50R-48,15949,20121223,20121230,20130104,783,1,783
SO51033,BK-M68B-38,16339,20121223,20121230,20130104,2049,1,2049
SO51034,BK-R89B-44,24485,20121223,20121230,20130104,2182,1,2182
SO51035,BK-R50B-48,27486,20121223,20121230,20130104,783,1,783
SO51036,BK-R64Y-40,25240,20121223,20121230,20130104,1000,1,1000
SO51037,BK-R50R-60,21668,20121223,20121230,20130104,783,1,783
SO51038,BK-M68B-46,27559,20121224,20121231,20130105,2049,1,2049
SO51039,BK-R89B-44,17952,20121224,20121231,20130105,2182,1,2182
SO51040,BK-R89R-44,19036,20121224,20121231,20130105,2443,1,2443
SO51041,BK-R89B-44,16559,20121224,20121231,20130105,2182,1,2182
SO51042,BK-R89R-58,16566,20121224,20121231,20130105,2182,1,2182
SO51043,BK-R89R-48,19049,20121224,20121231,20130105,2443,1,2443
SO51044,BK-R89R-44,17985,20121224,20121231,20130105,2443,1,2443
SO51045,BK-M68B-46,12833,20121224,20121231,20130105,2049,1,2049
SO51046,BK-R89R-58,13976,20121224,20121231,20130105,2182,1,2182
SO51047,BK-M68B-38,15755,20121224,20121231,20130105,2049,1,2049
SO51048,BK-M68S-42,15757,20121224,20121231,20130105,2071,1,2071
SO51049,BK-M68B-46,15802,20121224,20121231,20130105,2049,1,2049
SO51050,BK-M68S-46,15832,20121224,20121231,20130105,2071,1,2071
SO51051,BK-M68S-46,27568,20121225,20130101,20130106,2071,1,2071
SO51052,BK-R89R-44,17998,20121225,20130101,20130106,2443,1,2443
SO51053,BK-M68S-38,11480,20121225,20130101,20130106,2071,1,2071
SO51054,BK-M68S-42,11547,20121225,20130101,20130106,2071,1,2071
SO51055,BK-R50B-48,19943,20121225,20130101,20130106,783,1,783
SO51056,BK-R89B-48,13949,20121225,20130101,20130106,2182,1,2182
SO51057,BK-R50R-48,15985,20121225,20130101,20130106,783,1,783
SO51058,BK-R64Y-42,14472,20121225,20130101,20130106,1000,1,1000
SO51059,BK-M68S-38,15734,20121225,20130101,20130106,2071,1,2071
SO51060,BK-M68S-38,15756,20121225,20130101,20130106,2071,1,2071
SO51061,BK-R89R-52,24604,20121225,20130101,20130106,2443,1,2443
SO51062,BK-R50B-48,27494,20121225,20130101,20130106,783,1,783
SO51063,BK-R50R-44,27500,20121225,20130101,20130106,783,1,783
SO51064,BK-M68B-38,27521,20121226,20130102,20130107,2049,1,2049
SO51065,BK-M68B-42,27539,20121226,20130102,20130107,2049,1,2049
SO51066,BK-M68B-38,27556,20121226,20130102,20130107,2049,1,2049
SO51067,BK-R50B-44,15992,20121226,20130102,20130107,783,1,783
SO51068,BK-M68B-42,15801,20121226,20130102,20130107,2049,1,2049
SO51069,BK-M68B-38,16180,20121226,20130102,20130107,2049,1,2049
SO51070,BK-R89B-44,24477,20121226,20130102,20130107,2182,1,2182
SO51071,BK-M68B-42,21655,20121227,20130103,20130108,2049,1,2049
SO51072,BK-M68S-38,27571,20121227,20130103,20130108,2071,1,2071
SO51073,BK-R89R-58,19058,20121227,20130103,20130108,2182,1,2182
SO51074,BK-M68B-46,13407,20121227,20130103,20130108,2049,1,2049
SO51075,BK-M68S-42,12850,20121227,20130103,20130108,2071,1,2071
SO51076,BK-R50R-48,15959,20121227,20130103,20130108,783,1,783
SO51077,BK-M68S-42,15729,20121227,20130103,20130108,2071,1,2071
SO51078,BK-M68B-38,15786,20121227,20130103,20130108,2049,1,2049
SO51079,BK-M68B-42,16156,20121227,20130103,20130108,2049,1,2049
SO51080,BK-R89B-44,24602,20121227,20130103,20130108,2182,1,2182
SO51176,BK-R89B-58,18239,20121228,20130104,20130109,2443,1,2443
SO51176,BC-R205,18239,20121228,20130104,20130109,9,1,9
