prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
501,CO-DE-RD-2308,Rear Derailleur,54,,2013-07-01,
502,CO-TF-FR-T67U-50,LL Touring Frame - Blue- 50,200,T ,2013-07-01,
503,CO-TF-FR-T67U-54,LL Touring Frame - Blue- 54,200,T ,2013-07-01,
504,CO-TF-FR-T67U-58,LL Touring Frame - Blue- 58,200,T ,2013-07-01,
505,CO-TF-FR-T67U-62,LL Touring Frame - Blue- 62,200,T ,2013-07-01,
506,CO-TF-FR-T67Y-44,LL Touring Frame - Yellow- 44,200,T ,2013-07-01,
507,CO-TF-FR-T67Y-50,LL Touring Frame - Yellow- 50,200,T ,2013-07-01,
508,CO-TF-FR-T67Y-54,LL Touring Frame - Yellow- 54,200,T ,2013-07-01,
509,CO-TF-FR-T67Y-58,LL Touring Frame - Yellow- 58,200,T ,2013-07-01,
510,CO-TF-FR-T67U-44,LL Touring Frame - Blue- 44,200,T ,2013-07-01,
511,CO-MF-FR-M63S-40,ML Mountain Frame-W - Silver- 40,199,M ,2013-07-01,
512,CO-MF-FR-M63S-42,ML Mountain Frame-W - Silver- 42,199,M ,2013-07-01,
513,CO-MF-FR-M63S-46,ML Mountain Frame-W - Silver- 46,199,M ,2013-07-01,
514,CO-BR-RB-9231,Rear Brakes,47,,2013-07-01,
515,CO-SA-SE-M236,LL Mountain Seat/Saddle,12,M ,2013-07-01,
516,CO-SA-SE-M798,ML Mountain Seat/Saddle,17,M ,2013-07-01,
517,CO-SA-SE-M940,HL Mountain Seat/Saddle,23,M ,2013-07-01,
518,CO-SA-SE-R581,LL Road Seat/Saddle,12,R ,2013-07-01,
519,CO-SA-SE-R908,ML Road Seat/Saddle,17,T ,2013-07-01,
520,CO-SA-SE-R995,HL Road Seat/Saddle,23,R ,2013-07-01,
521,CO-SA-SE-T312,LL Touring Seat/Saddle,12,T ,2013-07-01,
522,CO-SA-SE-T762,ML Touring Seat/Saddle,17,T ,2013-07-01,
523,CO-SA-SE-T924,HL Touring Seat/Saddle,23,T ,2013-07-01,
524,CO-MF-FR-M21S-42,LL Mountain Frame - Silver- 42,145,M ,2013-07-01,
525,CO-MF-FR-M21S-44,LL Mountain Frame - Silver- 44,145,M ,2013-07-01,
526,CO-MF-FR-M21S-48,LL Mountain Frame - Silver- 48,145,M ,2013-07-01,
527,CO-MF-FR-M21S-52,LL Mountain Frame - Silver- 52,145,M ,2013-07-01,
528,AC-TT-TT-M928,Mountain Tire Tube,2,M ,2013-07-01,
529,AC-TT-TT-R982,Road Tire Tube,1,R ,2013-07-01,
530,AC-TT-TT-T092,Touring Tire Tube,2,T ,2013-07-01,
531,CO-MF-FR-M21B-42,LL Mountain Frame - Black- 42,137,M ,2013-07-01,
532,CO-MF-FR-M21B-44,LL Mountain Frame - Black- 44,137,M ,2013-07-01,
533,CO-MF-FR-M21B-48,LL Mountain Frame - Black- 48,137,M ,2013-07-01,
534,CO-MF-FR-M21B-52,LL Mountain Frame - Black- 52,137,M ,2013-07-01,
535,AC-TT-TI-M267,LL Mountain Tire,9,M ,2013-07-01,
536,AC-TT-TI-M602,ML Mountain Tire,11,M ,2013-07-01,
537,AC-TT-TI-M823,HL Mountain Tire,13,M ,2013-07-01,
538,AC-TT-TI-R092,LL Road Tire,8,R ,2013-07-01,
539,AC-TT-TI-R628,ML Road Tire,9,R ,2013-07-01,
540,AC-TT-TI-R982,HL Road Tire,12,R ,2013-07-01,
541,AC-TT-TI-T723,Touring Tire,11,T ,2013-07-01,
542,CO-PE-PD-M282,LL Mountain Pedal,18,M ,2013-07-01,
543,CO-PE-PD-M340,ML Mountain Pedal,28,M ,2013-07-01,
544,CO-PE-PD-M562,HL Mountain Pedal,36,M ,2013-07-01,
545,CO-PE-PD-R347,LL Road Pedal,18,R ,2013-07-01,
546,CO-PE-PD-R563,ML Road Pedal,28,R ,2013-07-01,
547,CO-PE-PD-R853,HL Road Pedal,36,R ,2013-07-01,
548,CO-PE-PD-T852,Touring Pedal,36,T ,2013-07-01,
549,CO-MF-FR-M63S-38,ML Mountain Frame-W - Silver- 38,199,M ,2013-07-01,
550,CO-MF-FR-M21B-40,LL Mountain Frame - Black- 40,137,M ,2013-07-01,
