CID,CNTRY
AW-00011401,France
AW-00011402,France
AW-00011403,France
AW-00011404,DE
AW-00011405,DE
AW-00011406,France
AW-00011407,DE
AW-00011408,United Kingdom
AW-00011409,France
AW-00011410,France
AW-00011411,DE
AW-00011412,DE
AW-00011413,United Kingdom
AW-00011414,United Kingdom
AW-00011415,DE
AW-00011416,France
AW-00011417,France
AW-00011418,DE
AW-00011419,United Kingdom
AW-00011420,France
AW-00011421,DE
AW-00011422,United Kingdom
AW-00011423,DE
AW-00011424,DE
AW-00011425,France
AW-00011426,DE
AW-00011427,DE
AW-00011428,DE
AW-00011429,France
AW-00011430,DE
AW-00011431,DE
AW-00011432,France
AW-00011433,France
AW-00011434,United Kingdom
AW-00011435,DE
AW-00011436,United Kingdom
AW-00011437,France
AW-00011438,DE
AW-00011439,France
AW-00011440,France
AW-00011441,France
AW-00011442,France
AW-00011443,Australia
AW-00011444,Australia
AW-00011445,Australia
AW-00011446,Australia
AW-00011447,Australia
AW-00011448,Australia
AW-00011449,Australia
AW-00011450,Australia
AW-00011451,Australia
AW-00011452,Australia
AW-00011453,Australia
AW-00011454,Australia
AW-00011455,Australia
AW-00011456,Australia
AW-00011457,Australia
AW-00011458,Australia
AW-00011459,Australia
AW-00011460,Australia
AW-00011461,Australia
AW-00011462,Australia
AW-00011463,Australia
AW-00011464,Australia
AW-00011465,Australia
AW-00011466,Australia
AW-00011467,Australia
AW-00011468,United Kingdom
AW-00011469,United Kingdom
AW-00011470,DE
AW-00011471,France
AW-00011472,Australia
AW-00011473,France
AW-00011474,United Kingdom
AW-00011475,United Kingdom
AW-00011476,United Kingdom
AW-00011477,DE
AW-00011478,France
AW-00011479,France
AW-00011480,France
AW-00011481,DE
AW-00011482,United Kingdom
AW-00011483,France
AW-00011484,DE
AW-00011485,United Kingdom
AW-00011486,DE
AW-00011487,France
AW-00011488,United Kingdom
AW-00011489,United Kingdom
AW-00011490,France
AW-00011491,United Kingdom
AW-00011492,DE
AW-00011493,United Kingdom
AW-00011494,United Kingdom
AW-00011495,DE
AW-00011496,United Kingdom
AW-00011497,United Kingdom
AW-00011498,Canada
AW-00011499,US
AW-00011500,Canada
AW-00011501,Canada
AW-00011502,Canada
AW-00011503,US
AW-00011504,US
AW-00011505,Canada
AW-00011506,Canada
AW-00011507,Canada
AW-00011508,US
AW-00011509,US
AW-00011510,Canada
AW-00011511,US
AW-00011512,Canada
AW-00011513,Canada
AW-00011514,US
AW-00011515,US
AW-00011516,US
AW-00011517,US
AW-00011518,US
AW-00011519,Canada
AW-00011520,Canada
AW-00011521,US
AW-00011522,US
AW-00011523,Canada
AW-00011524,US
AW-00011525,US
AW-00011526,Canada
AW-00011527,US
AW-00011528,US
AW-00011529,US
AW-00011530,Canada
AW-00011531,US
AW-00011532,US
AW-00011533,US
AW-00011534,US
AW-00011535,US
AW-00011536,US
AW-00011537,US
AW-00011538,US
AW-00011539,US
AW-00011540,US
AW-00011541,US
AW-00011542,United Kingdom
AW-00011543,France
AW-00011544,DE
AW-00011545,France
AW-00011546,France
AW-00011547,France
AW-00011548,United Kingdom
AW-00011549,United Kingdom
AW-00011550,United Kingdom
AW-00011551,France
AW-00011552,DE
AW-00011553,United Kingdom
AW-00011554,France
AW-00011555,United Kingdom
AW-00011556,United Kingdom
AW-00011557,United Kingdom
AW-00011558,United Kingdom
AW-00011559,DE
AW-00011560,United Kingdom
AW-00011561,DE
AW-00011562,DE
AW-00011563,United Kingdom
AW-00011564,DE
AW-00011565,United Kingdom
AW-00011566,France
AW-00011567,DE
AW-00011568,United Kingdom
AW-00011569,United Kingdom
AW-00011570,DE
AW-00011571,France
AW-00011572,France
AW-00011573,United Kingdom
AW-00011574,United Kingdom
AW-00011575,United Kingdom
AW-00011576,France
AW-00011577,France
AW-00011578,France
AW-00011579,United Kingdom
AW-00011580,United Kingdom
AW-00011581,France
AW-00011582,France
AW-00011583,France
AW-00011584,DE
AW-00011585,United Kingdom
AW-00011586,United Kingdom
AW-00011587,France
AW-00011588,France
AW-00011589,United Kingdom
AW-00011590,France
AW-00011591,France
AW-00011592,France
AW-00011593,France
AW-00011594,France
AW-00011595,DE
AW-00011596,United Kingdom
AW-00011597,France
AW-00011598,DE
AW-00011599,France
AW-00011600,France
